type,source_language,target_language,source,target,context,note
category,zh-CN,en,Hexo,Hexo,,
category,zh-CN,en,不知道咋分类,Uncategorized,,
category,zh-CN,en,学习笔记,Study Notes,,
category,zh-CN,en,实验记录,Lab Records,,
category,zh-CN,en,汇编,Assembly,,
category,zh-CN,en,题解,Solutions,,
tag,zh-CN,en,2021,2021,,
tag,zh-CN,en,2022,2022,,
tag,zh-CN,en,2023,2023,,
tag,zh-CN,en,CS144,CS144,,
tag,zh-CN,en,Codechef,CodeChef,,
tag,zh-CN,en,Codeforces,Codeforces,,
tag,zh-CN,en,GAMES101,GAMES101,,
tag,zh-CN,en,Hexo,Hexo,,
tag,zh-CN,en,MNIST,MNIST,,
tag,zh-CN,en,RTNW,RTNW,,
tag,zh-CN,en,RTOW,RTOW,,
tag,zh-CN,en,TCP/IP,TCP/IP,,
tag,zh-CN,en,Treap,Treap,,
tag,zh-CN,en,UNIX,UNIX,,
tag,zh-CN,en,USACO,USACO,,
tag,zh-CN,en,USACO 金组,USACO Gold,,
tag,zh-CN,en,USACO 铜组,USACO Bronze,,
tag,zh-CN,en,USACO 银组,USACO Silver,,
tag,zh-CN,en,bvh,BVH,,
tag,zh-CN,en,css,css,,
tag,zh-CN,en,dfs,DFS,,
tag,zh-CN,en,stl,stl,,
tag,zh-CN,en,valarray,valarray,,
tag,zh-CN,en,xv6,xv6,,
tag,zh-CN,en,《复杂》,Complexity,,
tag,zh-CN,en,乘法逆元,Modular Multiplicative Inverses,,
tag,zh-CN,en,二分图最大匹配,Bipartite Matching,,
tag,zh-CN,en,位运算,Bit Manipulation,,
tag,zh-CN,en,光线追踪,Ray Tracing,,
tag,zh-CN,en,写时复制（COW）,Copy-on-Write (COW),,
tag,zh-CN,en,几何,Geometry,,
tag,zh-CN,en,前缀和,Prefix Sums,,
tag,zh-CN,en,动态规划,Dynamic Programming,,
tag,zh-CN,en,协程,Coroutines,,
tag,zh-CN,en,双指针,Two Pointers,,
tag,zh-CN,en,反向传播,Backpropagation,,
tag,zh-CN,en,哈希表,Hash Tables,,
tag,zh-CN,en,图论,Graph Theory,,
tag,zh-CN,en,基环树,Unicyclic Graphs,,
tag,zh-CN,en,堆,Heaps,,
tag,zh-CN,en,多线程,Multithreading,,
tag,zh-CN,en,字符串,Strings,,
tag,zh-CN,en,平衡树,Balanced Trees,,
tag,zh-CN,en,底层,Low-level,,
tag,zh-CN,en,微积分,Calculus,,
tag,zh-CN,en,懒分配,Lazy Allocation,,
tag,zh-CN,en,手写数字识别,Handwritten Digit Recognition,,
tag,zh-CN,en,扩展欧几里得算法,Extended Euclidean Algorithm,,
tag,zh-CN,en,折半搜索 / 双向搜索,Meet-in-the-Middle / Bidirectional Search,,
tag,zh-CN,en,报错,Error Reports,,
tag,zh-CN,en,搜索,Search,,
tag,zh-CN,en,操作系统,Operating Systems,,
tag,zh-CN,en,数学,Mathematics,,
tag,zh-CN,en,数据结构,Data Structures,,
tag,zh-CN,en,数论,Number Theory,,
tag,zh-CN,en,整活,Experiments,,
tag,zh-CN,en,文件系统,File Systems,,
tag,zh-CN,en,最小割,Minimum Cut,,
tag,zh-CN,en,最小生成树,Minimum Spanning Trees,,
tag,zh-CN,en,机器学习,Machine Learning,,
tag,zh-CN,en,构造,Construction,,
tag,zh-CN,en,"枚举，暴力",Enumeration and Brute Force,,
tag,zh-CN,en,柏林噪声,Perlin Noise,,
tag,zh-CN,en,栈帧,Stack Frames,,
tag,zh-CN,en,树,Trees,,
tag,zh-CN,en,汇编,Assembly,,
tag,zh-CN,en,神经网络,Neural Networks,,
tag,zh-CN,en,系统调用,System Calls,,
tag,zh-CN,en,线性代数,Linear Algebra,,
tag,zh-CN,en,网络,Networking,,
tag,zh-CN,en,网络流,Network Flow,,
tag,zh-CN,en,表达式树,Expression Trees,,
tag,zh-CN,en,计算机图形学,Computer Graphics,,
tag,zh-CN,en,贪心,Greedy,,
tag,zh-CN,en,辐射度量学,Radiometry,,
tag,zh-CN,en,辗转相除法,Euclidean Algorithm,,
tag,zh-CN,en,进制,Number Bases,,
tag,zh-CN,en,递推,Recurrence,,
tag,zh-CN,en,遗传算法,Genetic Algorithms,,
tag,zh-CN,en,锁,Locks,,
tag,zh-CN,en,陷入,Traps,,
tag,zh-CN,en,页表,Page Tables,,
tag,zh-CN,en,驱动,Drivers,,
term,zh-CN,en,表达式树,Expression Tree,,
term,zh-CN,en,valarray,valarray,,
term,zh-CN,en,题解,Solution,,
term,zh-CN,en,实验记录,Lab Record,,
